CountryName,TotalCases,TotalDeath,TotalRecovered,ActiveCases,SeriousCases,CasesPerM,DeathPerM,TotalTests,TestPerM,Population
USA,35259330,626509,29490432,5142389,6654,105868,1881,521134583,1564730,333050797
India,31331145,420038,30495352,415755,8944,22471,301,452939545,324849,1394309103
Brazil,19524092,547134,18259711,717247,8318,91169,2555,54786381,255828,214153392
Russia,6078522,152296,5450004,476222,2300,41634,1043,161400000,1105475,146000561
France,5933510,111565,5669083,152862,868,90690,1705,99605085,1522408,65426028
UK,5637975,129044,4434939,1073992,699,82593,1890,237814221,3483827,68262351
Turkey,5574997,50821,5410554,113622,543,65361,596,65918377,772822,85295702
Argentina,4812351,103074,4447953,261324,4532,105457,2259,18608333,407782,45633094
Colombia,4692570,117836,4449027,125707,8155,91198,2290,21876392,425159,51454592
Italy,4307535,127937,4120846,58752,155,71355,2119,75792867,1255516,60367884
Spain,4280429,81221,3683457,515751,1292,91513,1736,55184196,1179807,46773907
Germany,3760270,92024,3643300,24946,356,44730,1095,65845568,783253,84066782
Iran,3645654,88273,3220445,336936,4696,42827,1037,25400499,298388,85125665
Indonesia,3082410,80598,2431911,569901,0,11145,291,24409303,88256,276572580
Poland,2881948,75235,2653172,153541,52,76236,1990,18265699,483184,37802815
Mexico,2709739,237626,2112815,359298,4798,20786,1823,8095331,62099,130360752
South Africa,2356049,69075,2133196,153778,546,39204,1149,14477689,240907,60096588
Ukraine,2247419,52811,2183642,10966,177,51717,1215,11239813,258649,43455925
Peru,2099522,195547,0,0,1951,62755,5845,15169438,453419,33455656
Netherlands,1833668,17792,1663091,152785,112,106764,1036,15472423,900874,17174907
Czechia,1672140,30347,1638606,3187,6,155838,2828,32033742,2985448,10729961
Chile,1606358,34875,1559891,11592,1813,83277,1808,18226220,944890,19289254
Philippines,1537097,26891,1455137,55069,2031,13833,242,16187587,145680,111117599
Iraq,1535848,18167,1394536,123145,684,37304,441,12686807,308147,41171248
Canada,1425097,26526,1394060,4511,244,37413,696,38054565,999040,38091128
Bangladesh,1146564,18851,978616,149097,1273,6890,113,7396867,44447,166419228
Belgium,1112161,25217,1054202,32742,85,95523,2166,16729624,1436900,11642862
Sweden,1096799,14615,1074360,7824,25,107892,1438,11231122,1104804,10165710
Romania,1082057,34266,1047117,674,38,56646,1794,10336704,541133,19101972
Pakistan,1000034,22939,923472,53623,2525,4437,102,15584899,69142,225404255
Malaysia,980491,7718,825387,147386,939,29890,235,16984302,517768,32802919
Portugal,947038,17264,876240,53534,178,93164,1698,14684117,1444536,10165286
Israel,857977,6457,841354,10166,81,91998,692,16128598,1729423,9326000
Japan,857799,15106,808413,34280,431,6804,120,17803291,141221,126067237
Hungary,809101,30020,745277,33804,9,83980,3116,6284811,652328,9634427
Jordan,763106,9929,745551,7626,496,74017,963,8292733,804345,10309925
Serbia,719664,7098,709778,2788,10,82718,816,4600110,528738,8700167
Switzerland,712668,10903,691377,10388,27,81715,1250,8904283,1020971,8721388
Nepal,676708,9679,639368,27661,0,22794,326,3517889,118494,29688277
UAE,668601,1913,646227,20461,0,66751,191,63765557,6366161,10016328
Austria,655589,10730,640430,4429,25,72356,1184,63571450,7016232,9060625
Morocco,569668,9536,540474,19658,346,15243,255,7285486,194947,37371613
Tunisia,558306,18052,453865,86389,630,46724,1511,2135283,178700,11948986
Lebanon,552871,7889,535663,9319,54,81387,1161,4731376,696494,6793132
Kazakhstan,516117,5244,441437,69436,221,27145,276,11575012,608782,19013391
Saudi Arabia,515693,8141,496810,10742,1383,14574,230,24195410,683781,35384744
Ecuador,479784,30777,443880,5127,759,26766,1717,1623084,90548,17925168
Greece,471894,12858,425958,33078,130,45509,1240,12085222,1165489,10369227
Thailand,467707,3811,320152,143744,3984,6683,54,8129670,116163,69984915
Bolivia,466318,17576,396914,51828,200,39382,1484,2010216,169771,11840755
Paraguay,447864,14501,408973,24390,423,61989,2007,1644783,227656,7224860
Belarus,438767,3376,432655,2736,0,46450,357,7168204,758858,9446039
Panama,426849,6730,407055,13064,133,97315,1534,3268714,745213,4386282
Bulgaria,423440,18189,397900,7351,81,61429,2639,3485391,505633,6893120
Georgia,398081,5656,370565,21860,0,99993,1421,6481930,1628186,3981075
Costa Rica,397469,4933,321048,71488,363,77281,959,1686460,327903,5143170
Slovakia,392259,12534,379318,407,9,71810,2295,3087364,565199,5462435
Kuwait,389868,2264,372358,15246,316,89892,522,3289685,758502,4337084
Uruguay,379911,5913,370711,3287,89,108968,1696,2990908,857869,3486439
Croatia,362305,8245,353103,957,17,88833,2022,2236369,548332,4078496
Guatemala,344221,10029,299752,34440,5,18847,549,1768248,96815,18264267
Azerbaijan,339645,5002,331782,2861,0,33183,489,3943568,385282,10235548
Dominican Republic,338902,3931,287607,47364,246,30914,359,1808633,164982,10962598
Cuba,316383,2203,276689,37491,328,27951,195,6099427,538851,11319312
Palestine,315968,3596,311380,992,11,60460,688,1965913,376176,5226043
